Perovskite_composition_a_ions,Perovskite_composition_a_ions_coefficients,Perovskite_composition_b_ions,Perovskite_composition_b_ions_coefficients,Perovskite_composition_c_ions,Perovskite_composition_c_ions_coefficients,Perovskite_band_gap
Cs,1,Sn,1,I,3,1.27
Cs,1,Sn,1,Br,3,1.75
Cs,1,Sn,1,Br; I,1; 2,1.37
Cs,1,Sn,1,Br; I,2; 1,1.65
MA,1,Pb,1,I,3,1.6
MA,1,Pb,1,Br,3,2.2
Cs; FA; MA,0.05; 0.788; 0.162,Pb,1,Br; I,0.51; 2.49,1.59
Cs; FA; GU; MA,0.05; 0.788; 0.032; 0.129,Pb,1,Br; I,0.51; 2.49,1.605
Cs; FA; GU; MA,0.05; 0.788; 0.065; 0.097,Pb,1,Br; I,0.51; 2.49,1.615
Cs; FA; GU; MA,0.05; 0.788; 0.097; 0.065,Pb,1,Br; I,0.51; 2.49,1.63
MA,1,Pb,1,I,3,1.58
MA,1,Pb,1,Br; I,0.09; 2.91,1.61
MA,1,Pb,1,Br; I,0.3; 2.7,1.64
MA,1,Pb,1,Br; I,0.6; 2.4,1.7
MA,1,Pb,1,Br; I,1.2; 1.8,1.8
MA,1,Pb,1,Br; I,1.8; 1.2,1.92
Cs,1,Sn,1,I,3,1.3
Cs,1,Sn,1,Br; I,0.5; 2.5,1.375
Cs,1,Sn,1,Br; I,0.6; 2.4,1.4
Cs,1,Sn,1,Br; I,2; 1,1.63
Cs,1,Sn,1,Br; I,2.5; 0.5,2.36
MA,1,Pb,1,I,3,1.59
Ag; Cs,2; 1,Sb,2,I,3,1.96
FA; MA | (PEA),0.6; 0.4 | 2,Pb; Sn | Pb; Sn,0.4; 0.6 | 0.4; 0.6,I | I,3 | 4,1.26
MA | CA,1 | 2,Pb | Pb,1 | 1,I | I,3 | 4,1.59
FA,1,Pb,1,I,3,1.48
FA,1,Pb,1,I,3,1.5
Cs; FA,0.05; 0.95,Pb,1,Br; I,0.15; 2.85,1.48
Cs; FA,0.1; 0.9,Pb,1,Br; I,0.3; 2.7,1.48
Cs; FA,0.15; 0.85,Pb,1,Br; I,0.45; 2.55,1.48
Cs; FA,0.2; 0.8,Pb,1,Br; I,0.6; 2.4,1.48
Cs; MA,0.01; 0.99,Pb,1,Br; I,0.03; 2.97,1.6
Cs; MA,0.02; 0.98,Pb,1,Br; I,0.06; 2.94,1.6
Cs; MA,0.03; 0.97,Pb,1,Br; I,0.09; 2.91,1.6
MA,1,Pb,1,I,3,1.5
MA,1,Pb,1,I,3,1.54
Cs,3,Sb,2,I,9,2.43
Rb,3,Sb,2,I,9,2.03
K,3,Sb,2,I,9,2.02
MA,1,Pb,1,Br; I,0.5; 2.5,1.7
MA,1,Pb,1,Br; I,0.8; 2.2,1.75
(PMA),2,Cu,1,Br,4,1.81
Cs,1,Pb,1,I,3,1.73
MA,1,Pb,1,I,3,1.55
MA,1,Pb,1,Br; I,0.6; 2.4,1.65
MA,1,Pb,1,Br; I,1.2; 1.8,1.74
MA,1,Pb,1,I,3,1.61
MA,1,Pb,1,Br; I,1.2; 1.8,1.83
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.68
Cs,1,Pb,1,Br; I,1; 2,1.92
Cs,1,Pb,1,Br,3,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br,3 | 3,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 2; 1,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | Br; I,3 | 1; 2,2.3
Cs | Cs,1 | 1,Pb | Pb,1 | 1,Br | I,3 | 3,2.3
Cs,1,Pb,1,I,3,1.72
Cs,1,Pb,1,I,3,1.76
FA,1,Pb,1,I,3,1.52
Cs,1,Bi,3,I,10,1.78
MA,1,Pb,1,I,3,1.56
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.56
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.58
MA,1,Pb,1,Br; I,0.3; 2.9,1.589
FA; MA,0.1; 0.9,Pb,1,Br; I,0.3; 2.9,1.592
FA; MA,0.2; 0.8,Pb,1,Br; I,0.3; 2.9,1.59
FA; MA,0.3; 0.7,Pb,1,Br; I,0.3; 2.9,1.58
FA; MA,0.1; 0.9,Pb,1,Br; I,0.3; 2.9,1.58
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.59
Cs,1,Pb,1,Br; I,2; 1,2.07
Cs,1,Pb,1,Br,3,2.24
Cs; Rb,0.91; 0.09,Pb,1,Br,3,2.31
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.63
Cs,1,Pb,1,Br; I,1; 2,1.91
Cs; FA; MA,0.05; 0.78; 0.13,Pb,1,Br; I,0.45; 2.55,1.6
Cs,1,Pb,1,Br,3,2.35
Cs; FA,0.25; 0.75,Pb,1,Br; I,0.6; 2.4,1.7
MA,1,Pb,1,I,3,1.57
Cs,2,Sn,1,I,6,1.48
Cs,1,Pb,1,Br; I,2; 1,2.05
MA,1,Pb,1,I,3,1.62
Cs; FA; MA,0.05; 0.75; 0.2,Pb,1,I,3,1.52
Cs,1,Pb,1,I,3,1.68
FA; MA,0.3; 0.7,Pb,1,I,3,1.62
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.61
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.6
FA; MA,0.83; 0.17,Pb,1,Br; I,0.5; 2.5,1.59
Cs,1,Pb,1,I,3,1.74
Cs; FA,0.25; 0.75,Pb,1,I,3,1.58
Cs; FA; MA,0.025; 0.475; 0.5,Pb; Sn,0.5; 0.5,I,3,1.27
FA; MA,0.5; 0.5,Pb; Sn,0.5; 0.5,I,3,1.25
Cs; FA; MA,0.05; 0.45; 0.5,Pb; Sn,0.5; 0.5,I,3,1.26
(NH4),3,Sb,2,I,9,2.27
(NH4),3,Sb,2,Br; I,3; 6,2.49
(NH4),3,Sb,2,Br; I,6; 3,2.66
(NH4),3,Sb,2,Br,9,2.78
MA,1,Sn,1,I,3,1.23
Cs; FA,0.17; 0.83,Pb,1,Br; I,0.8; 2.2,1.72
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.2; 1.8,1.79
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.5; 1.5,1.86
Cs; FA,0.17; 0.83,Pb,1,Br; I,1.8; 1.2,1.93
Ag,1,Bi,2,I,7,1.89
Cs; FA; MA | (EPA),0.1; 0.76; 0.14 | 2,Pb | Pb,1 | 1,Br; I | I,0.51; 2.49 | 4,1.61
Cs; FA; MA,0.1; 0.76; 0.14,Pb,1,Br; I,0.51; 2.49,1.61
MA,1,Pb,1,Br; I,1; 2,1.75
MA,1,Pb,1,Br; I,2; 1,2.02
MA,1,Pb,1,Br,3,2.3
Cs; FA; MA,0.05; 0.81; 0.14,Pb,1,Br; I,0.45; 2.55,1.62
Cs,1,Sn,1,Br,3,1.8
Rb,1,Pb,1,I,3,1.98
MA,1,Pb; Sn,0.75; 0.25,I,3,1.35
Cs; FA; MA,0.05; 0.81; 0.14,Pb,0.95,Br; I,0.43; 2.42,1.64
MA,3,Sb,2,I,9,2.25
MA,3,Sb,2,I,9,2.32
MA,3,Sb,2,I,9,2.35
MA,3,Sb,2,I,9,2.05
MA,3,Sb,2,I,9,2.04
