batch_size,learning_rate,epochs,conv_type,best_val_rmse,test_rmse
16,0.001,50,gcn,0.13227739930152893,0.17773371934890747
16,0.001,50,sage,0.12591102719306946,0.1785317063331604
16,0.001,100,gcn,0.1355229914188385,0.19029855728149414
16,0.001,100,sage,0.12881895899772644,0.17536179721355438
16,0.0005,50,gcn,0.13273784518241882,0.18503792583942413
16,0.0005,50,sage,0.12656505405902863,0.17707541584968567
16,0.0005,100,gcn,0.12611877918243408,0.1900186389684677
16,0.0005,100,sage,0.13169562816619873,0.17837388813495636
32,0.001,50,gcn,0.1313217580318451,0.18889428675174713
32,0.001,50,sage,0.12916477024555206,0.1793782114982605
32,0.001,100,gcn,0.13942916691303253,0.18975137174129486
32,0.001,100,sage,0.13035701215267181,0.1740761697292328
32,0.0005,50,gcn,0.13660790026187897,0.18127109110355377
32,0.0005,50,sage,0.12944787740707397,0.1799468696117401
32,0.0005,100,gcn,0.13566142320632935,0.2027636617422104
32,0.0005,100,sage,0.12594667077064514,0.1763520985841751
